Location,Treatment,Age,Gender/Race,Outcome,Treatment_Value,Outcome_Value
NA,Vegetables,AGE_OVERALL,BLK,Depression,67.08818074410978,80.42462839109953
NA,Vegetables,65PLUS,MALE,Depression,42.60758040869427,52.71937614831072
NA,Vegetables,5064,MALE,Depression,65.13607959247031,71.62461197171211
NA,Vegetables,65PLUS,MALE,Depression,67.56152287412418,78.3629648250244
NA,Vegetables,65PLUS,NAA,Depression,22.925021650008976,26.808908011741515
NA,Vegetables,65PLUS,FEMALE,Depression,35.68554721936428,48.93557252373731
NA,Vegetables,65PLUS,ASN,Depression,17.66590130956229,46.34451524910653
NA,Vegetables,65PLUS,NAA,Depression,23.470826754279734,27.62024311252889
NA,Vegetables,65PLUS,FEMALE,Depression,56.338073291348,71.7775916792307
NA,Vegetables,5064,WHT,Depression,35.16650589682072,45.199341339096556
NA,Vegetables,AGE_OVERALL,HIS,Depression,51.80370661774171,65.5677804193266
NA,Vegetables,65PLUS,MALE,Depression,58.9437619437274,70.85005447206869
NA,Vegetables,AGE_OVERALL,HIS,Depression,32.12210658749474,44.75656971889761
NA,Vegetables,65PLUS,MALE,Depression,93.27985435982859,107.14930624508169
NA,Vegetables,65PLUS,MALE,Depression,17.796831777271066,25.08417465558583
NA,Vegetables,AGE_OVERALL,BLK,Depression,36.97435572773441,46.123297362680034
NA,Vegetables,65PLUS,HIS,Depression,56.97946143149923,87.33664961480584
NA,Vegetables,65PLUS,OVERALL,Depression,38.38100420187516,41.630935198077424
NA,Vegetables,5064,MALE,Depression,91.29146096079893,99.87847487781985
NA,Vegetables,65PLUS,MALE,Depression,39.59950946650132,49.23838672155247
NA,Vegetables,5064,BLK,Depression,64.22513088715205,83.65841919810859
NA,Vegetables,5064,MALE,Depression,58.957386755851054,64.39579744819763
NA,Vegetables,65PLUS,WHT,Depression,94.4999294741756,117.02982293361086
NA,Vegetables,5064,NAA,Depression,39.33562675398171,39.1039384434874
NA,Vegetables,5064,HIS,Depression,66.51624656369013,89.77579102322431
NA,Vegetables,AGE_OVERALL,OVERALL,Depression,79.53977495869131,74.15268844147865
NA,Vegetables,65PLUS,MALE,Depression,34.83554264225323,44.63781439306824
NA,Vegetables,65PLUS,MALE,Depression,66.71880605900225,78.99643949199695
NA,Vegetables,AGE_OVERALL,FEMALE,Depression,72.58060092021725,77.51274190003654
NA,Vegetables,65PLUS,FEMALE,Depression,60.049331479087556,76.67597922168906
NA,Vegetables,65PLUS,WHT,Depression,54.412278929734676,73.94376995902597
NA,Vegetables,65PLUS,ASN,Depression,76.62488042502252,111.31259646481048
NA,Vegetables,5064,FEMALE,Depression,4.160036851936873,8.254840419310911
NA,Vegetables,AGE_OVERALL,NAA,Depression,56.26871176812012,50.70962898884104
NA,Vegetables,65PLUS,WHT,Depression,30.6509963044479,49.0103654433358
NA,Vegetables,AGE_OVERALL,BLK,Depression,59.69347355480648,72.2078041818642
NA,Vegetables,65PLUS,BLK,Depression,89.60269850900971,116.3543227908752
NA,Vegetables,65PLUS,OVERALL,Depression,86.60973602351791,92.24151195524406
NA,Vegetables,AGE_OVERALL,BLK,Depression,24.62880829283977,31.4672634845595
NA,Vegetables,65PLUS,MALE,Depression,58.54587784966056,70.07561069466638
NA,Vegetables,65PLUS,HIS,Depression,71.30270311477489,99.98368368585841
NA,Vegetables,AGE_OVERALL,BLK,Depression,44.725816408438035,52.881721215744726
NA,Vegetables,65PLUS,OVERALL,Depression,41.122186988722305,43.95657950770639
NA,Vegetables,65PLUS,FEMALE,Depression,82.31428845152303,101.71452968238079
NA,Vegetables,5064,NAA,Depression,79.65781496211918,83.35207835968724
NA,Vegetables,5064,MALE,Depression,10.067620114922917,11.985265276176076
NA,Vegetables,AGE_OVERALL,HIS,Depression,57.170842779600186,72.28834040715456
NA,Vegetables,65PLUS,FEMALE,Depression,68.17223440261604,86.99801895643435
NA,Vegetables,65PLUS,BLK,Depression,20.192988749559305,40.541830780259495
NA,Vegetables,5064,ASN,Depression,70.99477663141312,97.62298713090895
NA,Vegetables,65PLUS,MALE,Depression,38.90866708858418,49.09254269618267
NA,Vegetables,65PLUS,OVERALL,Depression,41.19068235011788,43.79849915529571
NA,Vegetables,5064,OVERALL,Depression,76.7974866441999,75.86023501464392
NA,Vegetables,AGE_OVERALL,MALE,Depression,68.06587393262602,69.18663684551126
NA,Vegetables,5064,BLK,Depression,57.85726973035755,74.48154371222361
NA,Vegetables,65PLUS,NAA,Depression,20.609106790436073,24.567246985698926
NA,Vegetables,5064,WHT,Depression,36.423450671373516,48.236244719772145
NA,Vegetables,5064,MALE,Depression,52.63645123905927,55.67688163528244
NA,Vegetables,AGE_OVERALL,BLK,Depression,54.27678084406703,63.348947247059805
NA,Vegetables,5064,WHT,Depression,90.61475516736519,106.74773948143557
NA,Vegetables,5064,OVERALL,Depression,79.94200586944122,80.09736928272572
NA,Vegetables,5064,ASN,Depression,81.98472187408052,110.70193669528553
NA,Vegetables,65PLUS,FEMALE,Depression,47.051142925126115,62.00154889453639
NA,Vegetables,5064,MALE,Depression,62.672115550150316,68.31555156976351
NA,Vegetables,65PLUS,ASN,Depression,85.95838738765931,120.49697191504904
NA,Vegetables,5064,WHT,Depression,3.7498526378913226,10.649448155519874
NA,Vegetables,5064,HIS,Depression,5.433156162914422,21.30535732644251
NA,Vegetables,AGE_OVERALL,FEMALE,Depression,66.99460744668079,71.5395749979621
NA,Vegetables,65PLUS,BLK,Depression,59.098104550294146,83.81542565852686
NA,Vegetables,65PLUS,WHT,Depression,94.13940207559341,117.6185791695194
NA,Vegetables,65PLUS,BLK,Depression,35.584072782702705,56.77324567954994
NA,Vegetables,AGE_OVERALL,FEMALE,Depression,70.07086046798919,72.83077259755933
NA,Vegetables,65PLUS,OVERALL,Depression,71.97028177991055,76.48694825116809
NA,Vegetables,65PLUS,BLK,Depression,69.88655581987949,94.62889999200515
NA,Vegetables,65PLUS,OVERALL,Depression,42.122273211146336,45.2039366801411
NA,Vegetables,5064,WHT,Depression,41.618705019936684,54.54463586317476
NA,Vegetables,65PLUS,HIS,Depression,82.46630987281476,113.00257585655467
